Date,Value,
04.08.2015,262.1200,
03.08.2015,259.3800,
02.08.2015,256.8200,
01.08.2015,257.7500,
31.07.2015,261.1100,
30.07.2015,264.9800,
29.07.2015,266.3700,
28.07.2015,267.2600,
27.07.2015,263.2900,
26.07.2015,265.5100,
25.07.2015,263.5400,
24.07.2015,257.7200,
23.07.2015,253.7300,
22.07.2015,254.0800,
21.07.2015,256.2900,
20.07.2015,256.5500,
19.07.2015,254.4700,
18.07.2015,256.8600,
17.07.2015,256.9100,
16.07.2015,260.4400,
15.07.2015,266.5500,
14.07.2015,264.9800,
13.07.2015,267.5500,
12.07.2015,274.0500,
11.07.2015,261.8200,
10.07.2015,252.4700,
09.07.2015,245.0400,
08.07.2015,243.9100,
07.07.2015,244.7100,
06.07.2015,246.4300,
05.07.2015,240.2100,
04.07.2015,233.3100,
03.07.2015,231.2800,
02.07.2015,233.3600,
01.07.2015,235.9900,
30.06.2015,236.4000,
29.06.2015,226.5900,
28.06.2015,227.9000,
27.06.2015,222.0900,
26.06.2015,218.9500,
25.06.2015,218.1400,
24.06.2015,218.8500,
23.06.2015,221.2100,
22.06.2015,217.7100,
21.06.2015,216.6200,
20.06.2015,215.4000,
19.06.2015,219.5800,
18.06.2015,219.5200,
17.06.2015,222.0200,
16.06.2015,215.7700,
15.06.2015,209.6800,
14.06.2015,209.2000,
13.06.2015,206.1400,
12.06.2015,206.1200,
11.06.2015,205.9700,
10.06.2015,204.7100,
09.06.2015,205.0100,
08.06.2015,201.3100,
07.06.2015,203.6300,
06.06.2015,204.2200,
05.06.2015,203.4800,
04.06.2015,202.3500,
03.06.2015,202.0900,
02.06.2015,202.3300,
01.06.2015,208.7300,
31.05.2015,213.0200,
30.05.2015,214.9200,
29.05.2015,217.2900,
28.05.2015,217.5700,
27.05.2015,219.2800,
26.05.2015,218.7600,
25.05.2015,218.1600,
24.05.2015,219.0000,
23.05.2015,218.5300,
22.05.2015,216.1600,
21.05.2015,212.8200,
20.05.2015,211.7500,
19.05.2015,210.2500,
18.05.2015,209.6700,
17.05.2015,208.6600,
16.05.2015,209.1300,
15.05.2015,208.8700,
14.05.2015,213.7000,
13.05.2015,214.4800,
12.05.2015,216.8400,
11.05.2015,217.4400,
10.05.2015,216.6500,
09.05.2015,217.2700,
08.05.2015,214.8700,
07.05.2015,207.3400,
06.05.2015,208.1400,
05.05.2015,211.9400,
04.05.2015,216.2100,
03.05.2015,215.2300,
02.05.2015,210.9200,
01.05.2015,211.0200,
30.04.2015,207.6400,
29.04.2015,204.4600,
28.04.2015,207.1600,
27.04.2015,204.2600,
26.04.2015,202.5300,
25.04.2015,211.8800,
24.04.2015,214.6500,
23.04.2015,218.4600,
22.04.2015,220.5600,
21.04.2015,212.1700,
20.04.2015,209.6000,
19.04.2015,208.8600,
